lakename,groupingENSO,groupingNAO,groupingNPO,groupingPC15,lat,lon,lake,GLWDid,AREA_SKM,PERIM_KM,LONG_DEG,LAT_DEG,ELEV_M,CATCH_TSKM
Itaipu,NA,SouthernBrazil,NA,NA,-25,-54.45,lake0501,65,2420.9,1167,-54.37,-24.74,229,816.5
Junin,NA,NA,NA,NA,-11.01,-76.09,lake0032,1264,146.5,58.4,-76.15,-11.02,3975,1.2
Kafue,SubSaharanAfrica,NA,EastAfrica,NA,-15.75,27.5,lake0415,180,1002.7,176.8,27.16,-15.66,987,122.8
Kainji,NA,NA,EastAfrica,NA,10.33,4.55,lake0417,116,1414,722.6,4.56,10.43,96,1581.9
Kajakai,NA,NA,NA,NA,32.33,65.18,lake4009,NA,NA,NA,NA,NA,NA,NA
Kakhovskoye,NA,NA,NA,NA,47.5,34.18,lake0873,79,2083.9,759.5,33.95,47.27,11,473.3
Kamskoye,NA,NA,NA,NA,58.7,56.11,lake0810,104,1648.2,1323.1,56.26,58.8,111,157.4
Kara-Bogaz-Gol,NA,NA,NA,NA,41.18,53.67,lake0275,197,918.9,147.4,53.54,41.23,-22,5.5
Kariba,SubSaharanAfrica,NA,EastAfrica,NA,-17,28,lake0394,35,4958.5,1947.8,27.6,-17.23,468,680.7
Kasba,NA,NA,NA,NA,60.12,-102.01,lake0429,124,1334.8,626,-102.27,60.34,335,13.8
Keller,NA,NA,NA,NA,63.93,-121.48,lake1081,465,390.7,96.6,-121.58,63.95,246,1.9
Khanka,NA,NA,NA,NA,45,132.42,lake0224,45,4088.1,344.8,132.42,44.94,64,19.6
Kikuletwa,NA,NA,NA,NA,-3.62,37.43,lake0558,1218,152.8,67.9,37.41,-3.68,829,8.1
Kinkony,NA,NA,NA,NA,-16.17,45.76,lake0274,2271,79.5,59.7,45.8,-16.16,63,1.4
Kiyevskoye,NA,NA,NA,NA,50.77,30.5,lake0520,436,420.3,181,30.48,50.82,93,227.3
Koitere,NA,NA,NA,NA,62.88,30.68,lake0358,1108,168.8,176.7,30.7,62.97,150,2
Krasnoyarskoye,NA,NA,NA,NA,55.12,91.77,lake0425,93,1893.2,1364,90.94,54.84,217,294.9
Kuybyshevskoye,NA,NA,NA,NA,54.09,48.76,lake1376,33,5003.3,1812.5,48.65,54.54,56,1181.6
Kwania,SubSaharanAfrica,NA,NA,NA,1.75,32.67,lake0406,325,561.9,419,32.65,1.72,1043,313.9
